关键词,类型,来源,运行次数,累计新增条数,平均热度,命中率,首次发现,最近运行
薪资谈判技巧与策略,候选,大家都在搜/筛选标签/高频标题,1,4,本轮新增4条,"run1_4/26≈15.4%(2026-08-08;候选首投;26条样本新增4条:薪资谈判技巧[她有一只粉红兔,6632]/跳槽谈薪的8个技巧[2768]/超实用的9大谈判技巧[4568]/被裁后成功谈薪的复盘[陈砍砍谈判];未达40%阈值维持候选,与""谈薪""母题高度重叠竞争密度高)",2026-06-25,2026-08-08
职场谈薪攻略,候选,大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-25,—
面试万能话术,活跃,筛选标签/大家都在搜,3,"11; run3(2026-08-12,web-only因XHS未登录)新增2条(2/6≈33.3%)",约1万 | run3(08-12)均值—(web-only无点赞数据),"高;07-20run2_12.5%(6新/48抓;XHS5+web1;结构化面试人际关系30万能回答/速背7道通用面试题/英文面试大脑空白应对等子话题延续小幅增量;网页侧HR邀约话术模板1条新增,与求职者视角话术形成对照) | run3(2026-08-12)_2/6≈33.3%(活跃复查,web-only;新增面试问题大合集分析及回答模板完整版[知乎]/军队文职面试万能模板附急救话术避坑清单[知乎]共2条,过滤4条重复[面试中通用话术和技巧/面试自我介绍模板/面试自我介绍该怎么说金句模板/绝版招聘面试话术全套宝典])",2026-06-26,2026-08-12
面试自我介绍模板,活跃,大家都在搜,10,run3(2026-08-18)_4/20=20.0%; 62,约482（3条样本）,"run3(2026-08-18)_4/20=20.0% | run3约0%(全部已收);08-01run3_5/20=25.0%(长空档活跃复查,距07-03隔29天;面试自我介绍别上来就背简历62赞/救命这是我见过的蕞好的自我介绍505赞/面试官让你做自我介绍不是想听你念简历29赞2天前/用这4页PPT征服面试官37赞/项目经理面试第一问自我介绍86赞);08-01run3_5/20=25.0%(长空档活跃复查,距07-03隔29天;面试自我介绍别上来就背简历62赞/救命这是我见过的蕞好的自我介绍505赞/面试官让你做自我介绍不是想听你念简历29赞2天前/用这4页PPT征服面试官37赞/项目经理面试第一问自我介绍86赞)",2026-06-26,2026-08-18
面试通过话术,候选,大家都在搜,1,"0; 首投新增5条(5/5=100%,web-only)",— | run(08-12)均值—(web-only无点赞数据),"— | 首投run(2026-08-12)_5/5=100%(web-only因XHS未登录,全场最高但样本量小;新增面试复试后HR说一周内给通知这有戏吗/怎样巧妙的问HR面试结果/当HR说了这些话预示你面试已经通过了/面试成功后如何礼貌回复HR呢/面试完HR电话通知说各方面不错会再看看其他求职者希望还大吗共5条知乎;内容多为""如何判断是否有戏""话题,与词库候选长句""面试官说等人事通知有戏吗""高度同源;参照08-09先例暂不升级为活跃,标记""强候补""待XHS恢复后复投确认)",2026-06-26,2026-08-12
面试该说点什么,候选,大家都在搜,1,1,"本轮新增1条,热度1068; 前值:—","run1_1/20=5%(2026-08-08;首投;20条XHS样本仅""job interview面试，骂醒一个是一个""[Lilly in Au,1068赞,2025-01-03]1条新增,其余与已同日反复投放的""面试技巧/面试什么话该说""等种子词高度重叠,未达40%阈值维持候选)",2026-06-26,2026-08-08
谈薪攻略,退休,大家都在搜,0,0,—,08-02run4候选积压清点(674>30阈值)按尾部低价值退休;与活跃词谈薪技巧/谈薪禁忌千万别犯高度重叠且从未试投,2026-06-26,2026-08-02
hr说帮我争取薪资,退休,大家都在搜,0,0,—,08-02run4候选积压清点(674>30阈值)按尾部低价值退休;表述生硬搜索意图弱且从未试投,2026-06-26,2026-08-02
第一次谈薪,候选,大家都在搜,1,3,约1425(79/184/7998均值),"08-02run4候选首投15.0%(3新/20抓;XHS;工作史上最低加薪第一次为自己开口[79赞]/谈薪走到这一步HR不会说但已经放弃你了[184赞]/入职自用sop谈薪篇[7998赞,本轮最高]三条新增;其余17条与既有谈薪技巧/谈薪禁忌千万别犯/应届生怎么谈薪簇约85%重叠,未达40%阈值维持候选",2026-06-26,2026-08-02
谈薪方法,候选,大家都在搜,1,本轮新增1条; 前值:0,—,"run2首投_1/8=12.5%(2026-08-09;候选首投,web-only;XHS未登录未能同步验证;新增:万能谈薪话术薪资涨50%[知乎];落入已饱和谈薪母题,未达40%阈值维持候选); 前值:—",2026-06-26,2026-08-09
面试中的黑话,退休,大家都在搜,0,0,—,08-02run4候选积压清点(674>30阈值)按尾部低价值退休;与既有活跃词HR面试黑话高度重叠且从未试投,2026-06-26,2026-08-02
面试中的潜台词,活跃,大家都在搜,1,7,"约2871(7条XHS样本:815/59000/8563/3115/34000/2885,交替低高值)","候选首投run1_46.7%(7新/15抓;2026-08-08;超40%阈值同轮升级为活跃;但抽查显示7条新增中至少5条与已连续3次确认饱和的'暗示信号/回去等通知'母题高度同源[读懂面试官的潜台词/面试一定要听懂HR的潜台词/找工作要明白的潜台词等],仅角度包装为'潜台词'而非'暗示',建议后续复投优先级降低,不作为独立细分角度;前值:—",2026-06-26,2026-08-08
面试通过的信号,候选,大家都在搜,0,0,—,—,2026-06-26,—
面试暗语,退休,高频标题,0,0,—,08-02run4候选积压清点(674>30阈值)按尾部低价值退休;与面试中的潜台词/面试通过的信号簇高度重叠且从未试投,2026-06-26,2026-08-02
面试成功了的征兆,候选,大家都在搜,1,3,—,day8首投约17%(3新/约18;XHS多已收),2026-06-26,2026-07-01
面试被问优缺点,活跃,大家都在搜(面试优缺点怎么说),1,5,本轮新增5条,"run1_5/11≈45.5%(2026-08-08;候选首投;11条样本新增5条:面试缺点回答公式[1095]/Behavioral Interview还有人不知道说什么嘛/HR问你的缺点该怎么回答一篇讲清楚[孙悟书,8872]/面试必问你的优缺点是什么[番茄小面,4867]/你有什么缺点原来这才是外企面试官想听的;远超40%阈值,同轮升级为活跃)",2026-07-09,2026-08-08
职场委婉表达技巧,活跃,大家都在搜,1,8,约2427(XHS5条样本:369/4829/5984/176/3982;web3条无热度数据),"候选首投run1_XHS5/15=33.3%+web3/3=100%,合计8/18≈44.4%(2026-08-08;超40%阈值同轮升级为活跃;供给以'委婉拒绝领导任务/体面拒绝/职场社交弦外音'角度为主,与既有活跃词职场高情商表达/职场经典话术重叠度中,注意后续选题去重);前值:—",2026-06-26,2026-08-08
结构化表达,活跃,大家都在搜,6,本轮新增1条(16.7%); 46,8(本轮1条样本),"run3_1/6≈16.7%(2026-08-11;长空档活跃复查[距07-20隔22天],结构化六大题型回答框架8赞,核心发现=该词供给已被公考/教师招聘'结构化面试'内容大量占据[10分钟的教师编面试/高校辅导员结构化面试九大类万能模板/重庆两江教招现场模拟题等],与corporate职场结构化表达重叠度持续走低,建议后续降低投放优先级或改用更精确query过滤公考内容)",run2_无XHS(扩展未连接同run1),2026-08-11
职场常用委婉表达,候选,大家都在搜,1,"0; 首投新增2条(2/5=40.0%,web-only)",— | run(08-12)均值—(web-only无点赞数据),"— | 首投run(2026-08-12)_2/5=40.0%(web-only因XHS未登录;新增高情商表达新晋管理者的职场软实力/高情商回复共2条知乎,过滤3条重复[高情商回复话术专治嘴笨/领导说辛苦了邀功式回复/职场沟通话术库50个高情商回复];命中率达候选默认阈值但样本全部来自web且量小,参照08-09先例暂不升级为活跃,标记""强候补""待XHS恢复后复投确认)",2026-06-26,2026-08-12
线上面试可以看稿子吗,活跃,大家都在搜/相关搜索,1,8,"约55(run4样本8条:11/12/11/23/9/6/269/299均值约80,中位数约11.5)","run4_首投8/8=100%(2026-08-11;讲到线上面试怎么读稿等技巧型内容,核心发现=该赛道分化为话术型与AI提词工具型两条供给线[芦笋提词器269赞/老白用AI299赞],远超40%阈值同轮升级为活跃,选题时需注明与工具类账号差异化定位)",2026-06-26,2026-08-11
向上汇报方案,候选,大家都在搜/相关搜索,0,0,—,—,2026-06-26,—
向上级汇报工作话术,候选,大家都在搜/相关搜索,0,0,—,—,2026-06-26,—
视频面试开场白,候选,大家都在搜/相关搜索,1,本轮新增8条; 前值:0,—,"run2首投_8/9≈88.9%(2026-08-09;候选首投,web-only;新增8条:喜马拉雅问答/搜狐HR开场白/HR笔记/简历网x2/BOSS直聘有了/知乎HR进阶开场白/YY简历网;命中率远超40%阈值但样本全部来自web,建议XHS恢复登录后补充验证再决定是否升级为活跃); 前值:—",2026-06-26,2026-08-09
视频面试有什么技巧吗,候选,大家都在搜/相关搜索,0,0,—,—,2026-06-26,—
真实面试视频,候选,大家都在搜/相关搜索,0,0,—,—,2026-06-26,—
小马哥面试万能模板,候选,大家都在搜/相关搜索,0,0,—,—,2026-06-26,—
面试高情商话术(职场限定),候选,大家都在搜/相关搜索,0,0,—,—,2026-06-26,—
结构化万能话术,候选,大家都在搜/相关搜索,0,0,—,—,2026-06-26,—
结构化面试不能说的信息,候选,大家都在搜/相关搜索,0,0,—,—,2026-06-26,—
面试失败预兆,活跃,小红书筛选标签/高频标题,1,7,"约809(08-05首投,7条样本:375/278/71/719/2149/33/2)","run1候选首投_7/8=87.5%(远超40%阈值,同轮升级为活跃)",2026-06-26,2026-08-05
hr暗示,活跃,小红书筛选标签/高频标题;候选首投升级(2026-08-07),1,18,约1300(样本含3462/3615/2300/2020/1061/779等多条高热),"run1候选首投_18/23≈78.3%(2026-08-07;远超40%阈值,当日全场最高命中率,同轮升级为活跃;裁员信号/HR暗示/Layoff预警等子话题供给充沛)",2026-06-26,2026-08-07
面试行为暗语,活跃,小红书筛选标签/高频标题,1,"run(2026-08-13)新增5条(5/8=62%,升级为活跃); 0",—,"run(2026-08-13)_5/8=62.5%(候选首投,XHS已登录;新增教培老师面试前看清暗语2赞/招聘圈16句暗语打工人一定要看懂14赞/面试官的8句潜台词大真实了3赞等,过滤3条与既有活跃词'面试暗示已经通过了'/'hr暗示'高度同源重复[面试时HR说的这些话真实意思是/读懂面试官的潜台词];命中率远超40%阈值,同轮升级为活跃) | —",2026-06-26,2026-08-13
利他性话术,候选,小红书筛选标签/高频标题,0,0,—,—,2026-06-26,—
职场拒绝话术say_no,活跃,小红书筛选标签/高频标题,5,63,约1250(本轮16条新增均值),84.2%,2026-06-26,2026-08-15
金字塔原理表达,活跃,小红书筛选标签/高频标题,3,run3(2026-08-14)_15/19=78.9%; 24,约1004（15条样本）,run3(2026-08-14)_15/19=78.9% | 07-29run3:29.3%(12新/41抓;XHS+web混合;本轮新增12条计入累计),2026-06-26,2026-08-14
即兴表达(原即兴表达话题),活跃,小红书筛选标签/高频标题,3,45,约1.4万;08-05run2约3585(12条样本:8000/2641/703/5341/1082/16/141/899/23/1330/2.2万/840),"高(职场相关度中,有少儿口才噪声);07-20run2_60.5%(23新/38抓,经内容质量过滤[剔除播音主持培训机构噪声2条+高等教育课程1条]后实际收录20新/47抓=42.6%;XHS15+web5;时隔近1个月[原首投2026-06-26]重新投放,供给大幅回升,""每日打卡训练系列""[新闻述评Day38/表达力方法论Niu/跟着晨晨练表达]与""万能公式清单体""两类结构占比最高,达到活跃词高位命中率;网页侧12堂课程页/临场发言3招练习等5条新增;run2_12/20=60.0%(2026-08-05,距07-20隔16天长空档复查,""打卡训练体""与""数字清单体""供给持续充沛,再次验证长空档命中率更高规律)",2026-06-26,2026-08-05
自我介绍万能公式,活跃,小红书筛选标签/高频标题;run2_无XHS(Chrome未连接),4,28,约6千,08-18run1_2/13=15.4%,2026-06-26,2026-08-18
面试装松弛感,活跃,小红书筛选标签/高频标题,4,24,"本轮新增4条,均值约334; 前值:约5千(历史XHS)；本轮网页源无点赞数据","run4_4/19≈21.1%(2026-08-08;长空档复查距07-15隔24天;19条XHS样本中大量结果语义漂移为""面试穿搭/通勤穿搭""服饰品类而非表演松弛心态本身,经相关性过滤仅4条真正相关新增[面试的精髓表演松弛和自信/其实就是表演松弛和自信/面试就是要表现松弛感/放轻松面试需要松弛感];核心方法论:该词与""面试博弈论""类似存在明显关键词语义漂移现象,建议后续投放前先人工复核前排是否偏题); 前值:run3_60%(6新/10抓;网页;知乎问题668860830两位答主+360doc+bilibili+腾讯云+米高蒲志共五来源,较run1/2大幅回升);原:55%",2026-06-26,2026-08-08
沟通模型,候选,小红书筛选标签/高频标题,0,0,—,—,2026-06-26,—
三明治拒绝法(原职场三明治拒绝法),活跃,大家都在搜/筛选标签,3,44,约1568,08-15run5:66.7%(8新/12抓;原始10条经相关性过滤后8条),纯职场子集),2026-08-15
反PUA话术,退休,大家都在搜/筛选标签,1,8,约600,约40%,2026-06-26,2026-06-27
职场怎么拒绝别人,活跃,大家都在搜/筛选标签,1,8,"约9(08-03run4,8条样本:1/2/1/2/12/1/39/7)","08-03run4_8/8=100%(候选首投,达40%阈值升级活跃)",2026-06-26,2026-08-03
面试中如何营造松弛感,候选,大家都在搜/筛选标签,0,0,—,—,2026-06-26,—
面试松弛感怎么练,候选,大家都在搜/筛选标签,0,0,—,—,2026-06-26,—
活人感,候选,大家都在搜/筛选标签,1,0,—,"run1候选首投_0/~30(相关性过滤后计入0条;2026-08-07;搜索结果被""活人感""泛生活/摄影/人设营销话题主导[拍视频活人感/活人感vlog/活人感博主起号/2026消费市场趋势等],与职场面试主题关联度低,判定语义漂移,建议后续不再单独投放该短词,若需保留活人感相关内容应继续依赖既有活跃词""面试活人感""精确限定)",2026-06-26,2026-08-07
金字塔原理工作汇报技巧,候选,大家都在搜/筛选标签,0,0,—,—,2026-06-26,—
麦肯锡表达(原麦肯锡逻辑表达术),活跃,大家都在搜/筛选标签,3,39,约1363,08-15run5:25.0%(3新/12抓;原始7条经相关性过滤后3条),2026-06-26,2026-08-15
结构化思维,候选,大家都在搜/筛选标签,0,0,—,—,2026-06-26,—
职场表达话术,活跃,大家都在搜/筛选标签,2,12,"约497(08-04,8条样本:0/41/4/14/32/5/3872/8,长空档28天复查历史最高命中)",08-04run1_8/8≈100.0%,2026-06-26,2026-08-04
职场高大上表达技巧,候选,大家都在搜/筛选标签,0,0,—,—,2026-06-26,—
面试说错了怎么补救,候选,大家都在搜/筛选标签,0,0,—,—,2026-06-26,—
面试不该说的别说,候选,大家都在搜/筛选标签,0,0,—,—,2026-06-26,—
面试个人优缺点怎么写,候选,大家都在搜/筛选标签,0,0,—,—,2026-06-26,—
如何礼貌谈加薪,活跃,大家都在搜/筛选标签;候选首投升级(2026-08-11),1,5,约4(5条样本:8/5/5/2/1),"run3候选首投_5/8=62.5%(2026-08-11;谈加薪别只说我很努力8赞/谈涨薪那天我准备了一个月十分钟就谈完了5赞/2min学会1on1提加薪不尴尬的3句英文5赞等5条新增,远超40%阈值同轮升级为活跃;与既有谈薪技巧/加薪话术簇重叠度中,注意后续选题去重;下拉联想捕获'怎么委婉的提加薪/加薪一般加多少'两个近似变体)",2026-06-26,2026-08-11
面试松弛感怎么表现,候选,小红书大家都在搜,0,0,—,—,2026-06-27,—
面试如何保持松弛感,候选,小红书大家都在搜,0,0,—,—,2026-06-27,—
高情商自我介绍,活跃,小红书大家都在搜,3,run4(2026-08-14)_5/19=26.3%; 24,约1003（5条样本）,run4(2026-08-14)_5/19=26.3% | 07-29run3:31.7%(13新/41抓;XHS+web混合;本轮新增13条计入累计),2026-06-27,2026-08-14
万能自我介绍开头,候选,小红书大家都在搜,0,0,—,—,2026-06-27,—
一分钟自我介绍模板,候选,小红书大家都在搜,0,0,—,—,2026-06-27,—
超有梗的自我介绍,候选,小红书大家都在搜,0,0,—,—,2026-06-27,—
职场反pua经典话术,活跃,小红书大家都在搜;候选首投升级(2026-08-11),1,9,约103(9条样本:1/1/2/38/8/790/9/2/74),"run3候选首投_9/20=45.0%(2026-08-11;从职场委婉语手册web结果衍生;职场PUA老娘反手就是一个大比兜/职场所有带PUA你的话都可以这样回复38赞/面对职场PUA挑刺如何清醒回击790赞[本轮全场最高]等9条新增,超40%阈值同轮升级为活跃;相关搜索联想捕获新候选'职场破局话术大全/职场话术反制技巧')",2026-06-27,2026-08-11
工作pua话术如何应对,候选,小红书大家都在搜,0,0,—,—,2026-06-27,—
反自证话术,候选,小红书大家都在搜,0,0,—,—,2026-06-27,—
面试潜台词怎么答,候选,小红书大家都在搜,0,0,—,—,2026-06-27,—
