关键词,场景域,场景类型,意图强度,竞争密度,人工初判,关联案例ID,状态,发布日,笔记链接,搜索来源占比,备注
和hr谈薪酬怎么争取,待归类,待归类,待探测,待探测,,,候选,,,,
社招跳槽涨薪多少合适,待归类,待归类,待探测,待探测,,,候选,,,,
hr怎么和候选人谈薪,待归类,待归类,待探测,待探测,,,候选,,,,
1分钟自我介绍怎么写,待归类,待归类,待探测,待探测,,,候选,,,,
hr谈薪一般会压多少,待归类,待归类,待探测,待探测,,,候选,,,,
面试中如何展现活人感,待归类,待归类,待探测,待探测,,,候选,,,,
豆包ai面试怎么使用,待归类,待归类,待探测,待探测,,,候选,,,,
面试被问还有什么问题,待归类,待归类,待探测,待探测,,,候选,,,,
结构化面试不能说什么,待归类,待归类,待探测,待探测,,,候选,,,,
怎么在面试时展示幽默,待归类,待归类,待探测,待探测,,,候选,,,,
怎么问offer进度,待归类,待归类,待探测,待探测,,,候选,,,,
面试时间很短说明什么,待归类,待归类,待探测,待探测,,,候选,,,,
hr面试被反杀怎么办,待归类,待归类,待探测,待探测,,,候选,,,,
如何回答面试官的问题,待归类,待归类,待探测,待探测,,,候选,,,,
面试自我评价该怎么写,待归类,待归类,待探测,待探测,,,候选,,,,
hr给薪资后还能谈吗,待归类,待归类,待探测,待探测,,,候选,,,,
工作应聘应该问哪些,待归类,待归类,待探测,待探测,,,候选,,,,
面试说错了怎么补救,待归类,待归类,待探测,待探测,,,候选,,,,
面试松弛感怎么表现,待归类,待归类,待探测,待探测,,,候选,,,,
面试如何保持松弛感,待归类,待归类,待探测,待探测,,,候选,,,,
职场中如何表达自己,待归类,待归类,待探测,待探测,,,候选,,,,
面试想到什么说什么,待归类,待归类,待探测,待探测,,,候选,,,,
面试一开始要说什么,待归类,待归类,待探测,待探测,,,候选,,,,
面试要准备什么东西,待归类,待归类,待探测,待探测,,,候选,,,,
离职原因简短怎么写,待归类,待归类,待探测,待探测,,,候选,,,,
怎么给贵人主动汇报,待归类,待归类,待探测,待探测,,,候选,,,,
面试怎么说自我介绍,待归类,待归类,待探测,待探测,,,候选,,,,
怎么和hr争取薪资,待归类,待归类,待探测,待探测,,,候选,,,,
第一次面试要说什么,待归类,待归类,待探测,待探测,,,候选,,,,
职场边界感如何把握,待归类,待归类,待探测,待探测,,,候选,,,,
面试前要做哪些准备,待归类,待归类,待探测,待探测,,,候选,,,,
面试活人感怎么表现,待归类,待归类,待探测,待探测,,,候选,,,,
如何反问面试官问题,待归类,待归类,待探测,待探测,,,候选,,,,
面试配得感怎么展示,待归类,待归类,待探测,待探测,,,候选,,,,
面试配得感怎么提升,待归类,待归类,待探测,待探测,,,候选,,,,
个人原因离职怎么说,待归类,待归类,待探测,待探测,,,候选,,,,
面试问你有什么优势,待归类,待归类,待探测,待探测,,,候选,,,,
如何面试时保持自信,待归类,待归类,待探测,待探测,,,候选,,,,
面试过了怎么谈薪资,待归类,待归类,待探测,待探测,,,候选,,,,
线上面试穿什么衣服,待归类,待归类,待探测,待探测,,,候选,,,,
hr终面一般问什么,待归类,待归类,待探测,待探测,,,候选,,,,
面试说错话了能过吗,待归类,待归类,待探测,待探测,,,候选,,,,
不参加面试怎么措辞,待归类,待归类,待探测,待探测,,,候选,,,,
面试不参加了怎么说,待归类,待归类,待探测,待探测,,,候选,,,,
无法参加面试怎么说,待归类,待归类,待探测,待探测,,,候选,,,,
面试怎么写自我评价,待归类,待归类,待探测,待探测,,,候选,,,,
职场边界感怎么处理,待归类,待归类,待探测,待探测,,,候选,,,,
hr问空窗期怎么说,待归类,待归类,待探测,待探测,,,候选,,,,
如何向上管理男领导,待归类,待归类,待探测,待探测,,,候选,,,,
怎么和hr说涨工资,待归类,待归类,待探测,待探测,,,候选,,,,
面试松弛感怎么练,待归类,待归类,待探测,待探测,,,候选,,,,
面试潜台词怎么答,待归类,待归类,待探测,待探测,,,候选,,,,
面试应该怎么准备,待归类,待归类,待探测,待探测,,,候选,,,,
谈薪话术怎么争取,待归类,待归类,待探测,待探测,,,候选,,,,
面试要说什么话术,待归类,待归类,待探测,待探测,,,候选,,,,
面试反问要问什么,待归类,待归类,待探测,待探测,,,候选,,,,
校招谈薪资怎么谈,待归类,待归类,待探测,待探测,,,候选,,,,
职场如何有效接话,待归类,待归类,待探测,待探测,,,候选,,,,
如何有效向上汇报,待归类,待归类,待探测,待探测,,,候选,,,,
面试都应该说什么,待归类,待归类,待探测,待探测,,,候选,,,,
面试说什么比较好,待归类,待归类,待探测,待探测,,,候选,,,,
面试坐姿手怎么放,待归类,待归类,待探测,待探测,,,候选,,,,
面试应该说什么话,待归类,待归类,待探测,待探测,,,候选,,,,
如何避免别人甩锅,待归类,待归类,待探测,待探测,,,候选,,,,
博弈论面试怎么答,待归类,待归类,待探测,待探测,,,候选,,,,
面试怎么积累素材,待归类,待归类,待探测,待探测,,,候选,,,,
hr骚扰怎么处理,待归类,待归类,待探测,待探测,,,候选,,,,
如何进行技术面试,待归类,待归类,待探测,待探测,,,候选,,,,
面试到底要说什么,待归类,待归类,待探测,待探测,,,候选,,,,
面试没去怎么解释,待归类,待归类,待探测,待探测,,,候选,,,,
面试内容可以问吗,待归类,待归类,待探测,待探测,,,候选,,,,
周例会如何汇报,待归类,待归类,待探测,待探测,,,候选,,,,
面试该说点什么,待归类,待归类,待探测,待探测,,,候选,,,,
如何礼貌谈加薪,待归类,待归类,待探测,待探测,,,候选,,,,
面试该说些什么,待归类,待归类,待探测,待探测,,,候选,,,,
委婉离职怎么说,待归类,待归类,待探测,待探测,,,候选,,,,
离职原因怎么填,待归类,待归类,待探测,待探测,,,候选,,,,
面试一般问什么,待归类,待归类,待探测,待探测,,,候选,,,,
职场上怎么接话,待归类,待归类,待探测,待探测,,,候选,,,,
谈薪资怎么争取,待归类,待归类,待探测,待探测,,,候选,,,,
职业规划怎么说,待归类,待归类,待探测,待探测,,,候选,,,,
离职原因有哪些,待归类,待归类,待探测,待探测,,,候选,,,,
甩锅话术怎么写,待归类,待归类,待探测,待探测,,,候选,,,,
如何问面试结果,待归类,待归类,待探测,待探测,,,候选,,,,
职业规划怎么写,待归类,待归类,待探测,待探测,,,候选,,,,
面试头发怎么扎,待归类,待归类,待探测,待探测,,,候选,,,,
面试都说些什么,待归类,待归类,待探测,待探测,,,候选,,,,
面试时怎么说,待归类,待归类,待探测,待探测,,,候选,,,,
面试问些什么,待归类,待归类,待探测,待探测,,,候选,,,,
如何避免甩锅,待归类,待归类,待探测,待探测,,,候选,,,,
面试注意什么,待归类,待归类,待探测,待探测,,,候选,,,,
去面试怎么说,待归类,待归类,待探测,待探测,,,候选,,,,
面试被问如何快速融入新集体,待归类,事件,待探测,待探测,"大家都在搜命中近义变体(面试如何快速融入新集体话术/面试问题如何快速融入团队);但前排已有9749/6358/1940等成熟高赞占位,供给饱和,放弃(08-04run2)",,放弃,,,,
面试的个人期望怎么写,待归类,事件,待探测,待探测,"与""期望薪资/职业规划""母题重叠,前排23000/3390/2945/2270/2142/1675等成熟内容占位,供给饱和,放弃(08-04run2)",,放弃,,,,
面试中的性格弱点怎么写,待归类,事件,待探测,待探测,"与已高度饱和""缺点/弱点""母题重叠(黄豆酱SILVIA帖6.4万赞/孙悟书1.6万赞等历史已知超饱和母题占位),放弃(08-04run2)",,放弃,,,,
不想讨好领导会被说不合群吗,待归类,待归类,待探测,待探测,,,候选,,,,
工资低还要学向上管理话术吗,待归类,待归类,待探测,待探测,,,候选,,,,
强制实习工资低是不是更容易转正,待归类,待归类,待探测,待探测,,,候选,,,,
面试聊了两小时最后说给不到薪资怎么办,待归类,事件,待探测,待探测,"大家都在搜未见该组合场景精准变体;前排赞藏普遍不低(1800/955/1010/6644/1.6万等),与""期望薪资达不到怎么回""母题重叠且供给充沛,放弃(08-04run2)",,放弃,,,,
面试官没让反问是不是没戏,待归类,事件,高,低,"大家都在搜命中近义变体(面试官没有反问环节/面试无反问/面试没让反问);专门回答本疑问的帖子普遍<500赞(33/1/21/44/375/234);答案空缺=现有""面试没戏信号""清单帖多泛泛列举多个信号,缺专门聚焦""没给反问机会=没戏吗""这一具体疑问的针对性解答;已收录评论区原话来源验证(救命没让我反问也没问我啥时候能入职)(08-04run2)",,已发布,2026-08-08,,,
视频面试应该说什么,待归类,待归类,—,—,08-04run2搜索页大家都在搜/评论区原话收割,—,候选,,—,—,
如何拿下视频面试,待归类,待归类,—,—,08-04run2搜索页大家都在搜/评论区原话收割,—,候选,,—,—,
线上面试前准备清单,待归类,待归类,—,—,08-04run2搜索页大家都在搜/评论区原话收割,—,候选,,—,—,
hr定薪怎么谈,待归类,待归类,—,—,08-04run2搜索页大家都在搜/评论区原话收割,—,候选,,—,—,
为什么hr到定薪阶段就不回复消息,待归类,待归类,—,—,08-04run2搜索页大家都在搜/评论区原话收割,—,候选,,—,—,
薪资谈好被领导驳回怎么办,待归类,待归类,—,—,08-04run2搜索页大家都在搜/评论区原话收割,—,候选,,—,—,
背调工资流水对不上怎么办,待归类,待归类,—,—,08-04run2搜索页大家都在搜/评论区原话收割,—,候选,,—,—,
面试完迟迟不谈薪资怎么询问,待归类,待归类,—,—,08-04run2搜索页大家都在搜/评论区原话收割,—,候选,,—,—,
面试没有聊到薪资怎么办,待归类,待归类,—,—,08-04run2搜索页大家都在搜/评论区原话收割,—,候选,,—,—,
工作变多了如何谈薪,谈薪,情境,中,低,"三条件全过:相关搜索命中工作量变多了如何谈薪等;前10篇仅1篇超500;答案空缺=现有内容默认在跳槽/年度调薪场景,缺非常规时间点因工作量增加主动要求加薪的具体话术(08-05run1)",,已发布,2026-08-15,https://www.xiaohongshu.com/explore/6a8119cd00000000330321a0,8.5%,
想要领导提拔自己怎么说,晋升发展,情境,高,中,"放弃:大家都在搜命中如何向领导提提拔/想被领导提拔怎么说等近义变体(条件a过);但前10篇中4篇(2917/2934/959/670)超500赞,且赛道存在多账号克隆同款内容(想提拔就去找领导无需顾虑!三账号近乎复制标题)迹象,判断为已商业化成熟niche,竞争密度中高,未形成差异化低竞争空间(08-05run2)",,放弃,,,,
怎么和领导说自己想晋升,晋升发展,情境,高,中,"放弃:结果与'想要领导提拔自己怎么说'(本轮同批)高度重叠(>80%),前10篇6篇(2917/493/959/3885/897/670)超500赞,竞争密度中高,未形成差异化空间(08-05run2)",,放弃,,,,
体制内想提职如何找领导谈,晋升发展,情境,中,待探测,"放弃:大家都在搜命中体制内怎么和领导表达提职等变体但前10篇中4篇(2917/4834/687/670)超500赞成熟占位,且与已验证词'怎么找领导表达自己想升职'(08-04run3)重叠度高,未形成差异化低竞争空间(08-05run1)",,放弃,,,,
如何向领导表达自己想进步,晋升发展,情境,中,中高,"放弃:大家都在搜命中怎么跟领导说自己想进步/如何向领导表示想进步等近义变体(条件a过);但前10篇4篇(897/2918/3846/1605)超500赞,竞争密度中高,且与今日run2已放弃词'想要领导提拔自己怎么说'/'怎么和领导说自己想晋升'重叠度>80%,未形成差异化空间(08-05run3)",,放弃,,,,
找单位一把手说晋升话术,晋升发展,情境,中,低,"三条件全过:大家都在搜命中如何跟一把手谈升职/提拔直接跟一把手说等精准变体;前10篇多数<500(7/10,仅3846/2918/688超500);答案空缺=现有内容多讲'要不要找领导说'或泛化开口技巧,缺'该找单位一把手还是找直属领导'这一具体决策困惑的分层建议(08-05run3)",,已发布,2026-08-09,https://www.xiaohongshu.com/explore/6a7930cb0000000027022acc,0.6%,
如何礼貌询问面试结果,面试,事件,高,低,"三条件全过:大家都在搜命中如何委婉的问面试结果等近义变体;结果较多;前排多数<500(仅3499/4456/1078/772/850/563数篇偏高);答案空缺=多为主动问结果的鼓励性建议,缺具体礼貌措辞的逐字话术模板(08-05run1)",,已发布,2026-08-10,https://www.xiaohongshu.com/explore/6a7a82500000000022012577,49%,
这么委婉的问面试结果话术,面试,事件,中,高,,,已验证,,,,
面试完怎么主动问结果话术,面试,事件,中,中高,"放弃:大家都在搜命中面试完怎么礼貌的问结果/面试之后主动问结果话术等近义变体(条件a过);但前10篇4篇(772/1207/5428/1089)超500赞,与今日run1/run2已验证词'如何礼貌询问面试结果'/'HR说会通知你结果是不是就是被拒了'高度重叠(母题连续三轮验证),边际价值低(08-05run3)",,放弃,,,,
微信问面试结果话术,面试,事件,高,中,"08-06验证:下拉命中'问面试结果的话术微信'; 结果量较多(简短/礼貌表达/主动争取/高情商等8+标签); 前排赞藏混合(137/25/11/51/89/11多数<500,但1092/817/3500三条偏高)。答案空缺=现有内容多讲'要不要主动问'的心态框架,缺可直接复制粘贴的微信文字模板。",,已发布,2026-08-22,https://www.xiaohongshu.com/explore/6a8a5496000000001402739d,13.7%,
试用期提前转正怎么说,试用期转正,事件,高,低,"三条件全过:大家都在搜命中试用期提前转正怎么谈/申请提前转正的话术等;前排普遍<100(仅1323/661两篇偏高);答案空缺=多是主动提的鼓励性建议或潜规则列举,缺具体开口话术逐字稿(08-05run1)",,已验证,,,,
